input_id	dealiased_id	standard_id	short_id
pmid:23180789	pmid:23180789	pubmed:23180789	12qd7ruUX
pmid:26467479	pmid:26467479	pubmed:26467479	ENOs6ten
raw:ying2011	raw:ying2011	raw:ying2011	eRyiaiyT
isbn:9781607505341	isbn:9781607505341	isbn:9781607505341	xAEGNNS7
doi:10.3233/AO-160164	doi:10.3233/AO-160164	doi:10.3233/ao-160164	et8tgu7d
arxiv:1502.04108	arxiv:1502.04108	arxiv:1502.04108	18TVi2Y1q
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
chebi:77731	chebi:77731	chebi:77731	ZYFeZhxw
url:http://purl.obolibrary.org/obo/RO_0002406	url:http://purl.obolibrary.org/obo/RO_0002406	url:http://purl.obolibrary.org/obo/RO_0002406	j5mJLaGj
hgnc:11998	hgnc:11998	hgnc:11998	N9FgSWkB
chebi:138650	chebi:138650	chebi:138650	Z4NIl1QS
